Commodity,Unit,Min Price,Max Price,Avg Price,Date
गोलभेडा ठूलो(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
गोलभेडा सानो(लोकल),के.जी.,रू ४५.००,रू ५५.००,रू ५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
गोलभेडा सानो(टनेल),के जी,रू ६५.००,रू ८५.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
गोलभेडा सानो(भारतीय),के जी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
आलु रातो,के.जी.,रू ७८.००,रू ८०.००,रू ७९.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
आलु रातो(भारतीय),के जी,रू ६४.००,रू ६६.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
आलु सेतो,के.जी.,रू ६४.००,रू ६६.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
प्याज सुकेको (भारतीय),के.जी.,रू १२०.००,रू १२५.००,रू १२२.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
गाजर(लोकल),के.जी.,रू १२०.००,रू १३०.००,रू १२५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
गाजर(तराई),केजी,रू ७०.००,रू ९०.००,रू ८०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
बन्दा(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
बन्दा(तराई),केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
काउली स्थानिय,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
मूला रातो,के.जी.,रू ३०.००,रू ३५.००,रू ३२.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
मूला सेतो(लोकल),के.जी.,रू २०.००,रू २५.००,रू २२.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
सेतो मूला(हाइब्रीड),केजी,रू १५.००,रू २५.००,रू २०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
भन्टा लाम्चो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
भन्टा डल्लो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
बोडी(तने),के.जी.,रू १३०.००,रू १४०.००,रू १३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
मकै बोडी,केजी,रू ५०.००,रू ७०.००,रू ६०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
मटरकोशा,के.जी.,रू १००.००,रू ११०.००,रू १०५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
घिउ सिमी(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
घिउ सिमी(हाइब्रीड),केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
घिउ सिमी(राजमा),केजी,रू १३०.००,रू १४०.००,रू १३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
टाटे सिमी,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
भटमासकोशा,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
तितो करेला,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
लौका,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
परवर(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
चिचिण्डो,के.जी.,रू ३०.००,रू ५०.००,रू ४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
घिरौला,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
फर्सी पाकेको,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
फर्सी हरियो(लाम्चो),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
हरियो फर्सी(डल्लो),केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
सलगम,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
भिण्डी,के.जी.,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
सखरखण्ड,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
बरेला,के.जी.,रू २०.००,रू २५.००,रू २२.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
पिंडालू,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
स्कूस,के.जी.,रू १५.००,रू २०.००,रू १७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
रायो साग,के.जी.,रू २०.००,रू ३०.००,रू २५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
पालूगो साग,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
चमसूरको साग,के.जी.,रू १००.००,रू १५०.००,रू १२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
तोरीको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
मेथीको साग,के.जी.,रू १००.००,रू १५०.००,रू १२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
प्याज हरियो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
बकूला,के.जी.,रू १००.००,रू ११०.००,रू १०५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
च्याउ(कन्य),के.जी.,रू १८०.००,रू २००.००,रू १९३.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
च्याउ(डल्ले),के जी,रू २५०.००,रू २८०.००,रू २६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
कुरीलो,के.जी.,रू ८००.००,"रू १,२००.००","रू १,०००.००","दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
ब्रोकाउली,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
चुकुन्दर,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
रातो बन्दा,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
जिरीको साग,के.जी.,रू १५०.००,रू १८०.००,रू १६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
सेलरी,के.जी.,रू ५००.००,रू ६००.००,रू ५५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
पार्सले,के.जी.,"रू १,५००.००","रू २,०००.००","रू १,७३३.३३","दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
पुदीना,के.जी.,रू ५००.००,रू ७००.००,रू ६००.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
गान्टे मूला,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
इमली,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
तामा,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
तोफु,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
गुन्दुक,के.जी.,रू २५०.००,रू ३००.००,रू २७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
स्याउ(झोले),के.जी.,रू २४०.००,रू २६०.००,रू २५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
स्याउ(फूजी),के जी,रू २८०.००,रू ३००.००,रू २९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
केरा,दर्जन,रू १५०.००,रू १७०.००,रू १६०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
कागती,के.जी.,रू १५०.००,रू १७०.००,रू १६०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
अनार,के.जी.,रू ४५०.००,रू ४८०.००,रू ४६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
अंगुर(कालो),केजी,रू ३८०.००,रू ४००.००,रू ३९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
सुन्तला(नेपाली),के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
सुन्तला(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
मौसम,के.जी.,रू १५०.००,रू १६०.००,रू १५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
जुनार,के.जी.,रू ३००.००,रू ३५०.००,रू ३२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
भुई कटहर,प्रति गोटा,रू १८०.००,रू २००.००,रू १९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
काक्रो(लोकल),के.जी.,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
काक्रो(हाइब्रीड),के जी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
निबुवा,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
नासपाती(लोकल),के.जी.,रू २३०.००,रू २५०.००,रू २४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
मेवा(नेपाली),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
मेवा(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
अम्बा,के.जी.,रू १५०.००,रू १८०.००,रू १६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
लप्सी,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
किवि,केजी,रू २००.००,रू २५०.००,रू २२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
शरीफा,के‍.जी,रू १५०.००,रू २००.००,रू १७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
आभोकाडो,के.जी,रू २००.००,रू २५०.००,रू २२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
अमला,के.जी,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
अदुवा,के.जी.,रू १००.००,रू १५०.००,रू १२८.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
खु्र्सानी सुकेको,के.जी.,रू ४००.००,रू ४३०.००,रू ४१६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
खु्र्सानी हरियो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
खुर्सानी हरियो(बुलेट),के जी,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
खुर्सानी हरियो(अकबरे),के जी,रू २४०.००,रू २५०.००,रू २४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
भेडे खु्र्सानी,के.जी.,रू १३०.००,रू १४०.००,रू १३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
लसुन हरियो,के.जी.,रू ३००.००,रू ३३०.००,रू ३१६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
हरियो धनिया,के.जी.,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २४, २०८१"
