Commodity,Unit,Min Price,Max Price,Avg Price,Date
गोलभेडा ठूलो(भारतीय),केजी,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
गोलभेडा सानो(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
गोलभेडा सानो(टनेल),के जी,रू ७०.००,रू १०५.००,रू ८९.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
गोलभेडा सानो(भारतीय),के जी,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
आलु रातो,के.जी.,रू ८०.००,रू ८५.००,रू ८२.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
आलु रातो(भारतीय),के जी,रू ६०.००,रू ६२.००,रू ६१.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
आलु सेतो,के.जी.,रू ६५.००,रू ६८.००,रू ६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
प्याज सुकेको (भारतीय),के.जी.,रू १०३.००,रू १०५.००,रू १०४.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
गाजर(लोकल),के.जी.,रू १२०.००,रू १३०.००,रू १२५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
गाजर(तराई),केजी,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
बन्दा(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
बन्दा(तराई),केजी,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
काउली स्थानिय,के.जी.,रू १००.००,रू ११०.००,रू १०५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
मूला रातो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
मूला सेतो(लोकल),के.जी.,रू २५.००,रू ३०.००,रू २७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
सेतो मूला(हाइब्रीड),केजी,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
भन्टा लाम्चो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
भन्टा डल्लो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
बोडी(तने),के.जी.,रू १२०.००,रू १३०.००,रू १२५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
मकै बोडी,केजी,रू ५५.००,रू ६०.००,रू ५७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
मटरकोशा,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
घिउ सिमी(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
घिउ सिमी(हाइब्रीड),केजी,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
घिउ सिमी(राजमा),केजी,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
टाटे सिमी,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
भटमासकोशा,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
तितो करेला,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
लौका,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
परवर(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
परवर(तराई),केजी,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
चिचिण्डो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
घिरौला,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
फर्सी पाकेको,के.जी.,रू ३५.००,रू ४०.००,रू ३७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
फर्सी हरियो(लाम्चो),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
हरियो फर्सी(डल्लो),केजी,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
सलगम,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
भिण्डी,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
सखरखण्ड,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
बरेला,के.जी.,रू ४५.००,रू ५५.००,रू ५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
पिंडालू,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
स्कूस,के.जी.,रू २०.००,रू ३०.००,रू २५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
रायो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
पालूगो साग,के.जी.,रू १५०.००,रू २००.००,रू १७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
चमसूरको साग,के.जी.,रू १५०.००,रू २००.००,रू १७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
तोरीको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
प्याज हरियो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
च्याउ(कन्य),के.जी.,रू १३०.००,रू १७०.००,रू १५२.५०,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
च्याउ(डल्ले),के जी,रू ४५०.००,रू ५००.००,रू ४७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
कुरीलो,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
ब्रोकाउली,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १७, २०८१"
