Commodity,Unit,Min Price,Max Price,Avg Price,Date
गोलभेडा ठूलो(भारतीय),केजी,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
गोलभेडा सानो(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
गोलभेडा सानो(टनेल),के जी,रू ७०.००,रू १००.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
गोलभेडा सानो(भारतीय),के जी,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
आलु रातो,के.जी.,रू ७५.००,रू ८०.००,रू ७७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
आलु रातो(भारतीय),के जी,रू ५९.००,रू ६२.००,रू ६०.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
आलु सेतो,के.जी.,रू ७५.००,रू ७८.००,रू ७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
प्याज सुकेको (भारतीय),के.जी.,रू १२०.००,रू १२५.००,रू १२२.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
गाजर(लोकल),के.जी.,रू १२०.००,रू १३०.००,रू १२५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
गाजर(तराई),केजी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
बन्दा(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
बन्दा(तराई),केजी,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
काउली स्थानिय,के.जी.,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
काउली तराई,के.जी.,रू ७०.००,रू ९०.००,रू ८०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
मूला रातो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
मूला सेतो(लोकल),के.जी.,रू २०.००,रू २५.००,रू २२.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
सेतो मूला(हाइब्रीड),केजी,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
भन्टा लाम्चो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
भन्टा डल्लो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
बोडी(तने),के.जी.,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
मकै बोडी,केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
मटरकोशा,के.जी.,रू १५०.००,रू १७०.००,रू १६०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
घिउ सिमी(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
घिउ सिमी(हाइब्रीड),केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
घिउ सिमी(राजमा),केजी,रू १००.००,रू १३०.००,रू ११६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
टाटे सिमी,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
भटमासकोशा,के.जी.,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
तितो करेला,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
लौका,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
परवर(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
चिचिण्डो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
घिरौला,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
फर्सी पाकेको,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
फर्सी हरियो(लाम्चो),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
हरियो फर्सी(डल्लो),केजी,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
सलगम,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
भिण्डी,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
बरेला,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
पिंडालू,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
स्कूस,के.जी.,रू २०.००,रू ३०.००,रू २५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
रायो साग,के.जी.,रू ५०.००,रू ७०.००,रू ६०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
पालूगो साग,के.जी.,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
चमसूरको साग,के.जी.,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
तोरीको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
मेथीको साग,के.जी.,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
प्याज हरियो,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
च्याउ(कन्य),के.जी.,रू १४०.००,रू १७०.००,रू १५६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
च्याउ(डल्ले),के जी,रू २५०.००,रू २८०.००,रू २६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
कुरीलो,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
ब्रोकाउली,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
चुकुन्दर,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
रातो बन्दा,के.जी.,रू १००.००,रू १३०.००,रू ११६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
जिरीको साग,के.जी.,रू १५०.००,रू २००.००,रू १७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
सेलरी,के.जी.,रू ५००.००,रू ६००.००,रू ५५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
पार्सले,के.जी.,"रू १,५००.००","रू १,८००.००","रू १,६६६.६७","दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक २१, २०८१"
