Commodity,Unit,Min Price,Max Price,Avg Price,Date
गोलभेडा ठूलो(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
गोलभेडा सानो(लोकल),के.जी.,रू ५०.००,रू ६५.००,रू ५८.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
गोलभेडा सानो(टनेल),के जी,रू ७०.००,रू १०५.००,रू ८९.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
गोलभेडा सानो(भारतीय),के जी,रू ६०.००,रू ८०.००,रू ७०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
आलु रातो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
आलु रातो(भारतीय),के जी,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
आलु सेतो,के.जी.,रू ५८.००,रू ६०.००,रू ५९.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
प्याज सुकेको (भारतीय),के.जी.,रू १२०.००,रू १२५.००,रू १२२.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
गाजर(लोकल),के.जी.,रू १४०.००,रू १५०.००,रू १४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
गाजर(तराई),केजी,रू १२०.००,रू १३०.००,रू १२५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
बन्दा(लोकल),के.जी.,रू ५५.००,रू ६०.००,रू ५७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
बन्दा(तराई),केजी,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
काउली स्थानिय,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
काउली तराई,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
मूला रातो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
मूला सेतो(लोकल),के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
सेतो मूला(हाइब्रीड),केजी,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
भन्टा लाम्चो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
भन्टा डल्लो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
बोडी(तने),के.जी.,रू १४०.००,रू १५०.००,रू १४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
मकै बोडी,केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
मटरकोशा,के.जी.,रू १५०.००,रू १६०.००,रू १५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
घिउ सिमी(लोकल),के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
घिउ सिमी(हाइब्रीड),केजी,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
घिउ सिमी(राजमा),केजी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
टाटे सिमी,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
तितो करेला,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
लौका,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
परवर(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
परवर(तराई),केजी,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
चिचिण्डो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
घिरौला,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
फर्सी पाकेको,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
फर्सी हरियो(लाम्चो),के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
हरियो फर्सी(डल्लो),केजी,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
सलगम,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
भिण्डी,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
बरेला,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
पिंडालू,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
स्कूस,के.जी.,रू १५.००,रू २०.००,रू १७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
रायो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
पालूगो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
चमसूरको साग,के.जी.,रू १००.००,रू १५०.००,रू १२३.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
तोरीको साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
मेथीको साग,के.जी.,रू १००.००,रू १५०.००,रू १२३.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
प्याज हरियो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
तरुल,के.जी.,रू ८०.००,रू १००.००,रू ८८.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
च्याउ(कन्य),के.जी.,रू २३०.००,रू २५०.००,रू २४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक ३०, २०८१"
